city, state_id, state_name, county, longitude, latitude, zips, fips id
East Farms,WA,Washington,Spokane,47.7074,-117.0524,99025,1840037644
Eschbach,WA,Washington,Yakima,46.667,-120.6337,98908,1840017369
Chattaroy,WA,Washington,Spokane,47.8896,-117.3577,99003,1840037629
Inchelium,WA,Washington,Ferry,48.3379,-118.2372,99138,1840017307
Maxwelton,WA,Washington,Island,47.9373,-122.4443,98236,1840037681
White Center,WA,Washington,King,47.5086,-122.348,98106 98146 98168,1840037727
Medical Lake,WA,Washington,Spokane,47.5713,-117.6896,99022,1840019804
Lyman,WA,Washington,Skagit,48.523,-122.0634,98263 98284,1840021069
Arlington,WA,Washington,Snohomish,48.1698,-122.144,98223,1840018378
Ruston,WA,Washington,Pierce,47.2982,-122.5104,98407,1840021132
McCleary,WA,Washington,Grays Harbor,47.0584,-123.2725,98557,1840019846
Sammamish,WA,Washington,King,47.6045,-122.0446,98075 98074,1840021115
Covington,WA,Washington,King,47.3665,-122.105,98042,1840018425
McMillin,WA,Washington,Pierce,47.1286,-122.2374,98360 98374,1840023837
La Grande,WA,Washington,Pierce,46.8199,-122.2962,98328,1840023834
Cromwell,WA,Washington,Pierce,47.2743,-122.6224,98335,1840037543
Berrydale,WA,Washington,King,47.3398,-122.1279,98042,1840037515
Wenatchee,WA,Washington,Chelan,47.4251,-120.329,98801,1840021074
Urban,WA,Washington,Skagit,48.6179,-122.6921,98221,1840037597
Maplewood,WA,Washington,Pierce,47.3715,-122.5689,98332,1840037569
Marys Corner,WA,Washington,Lewis,46.5471,-122.8226,98532,1840037570
Mattawa,WA,Washington,Grant,46.7365,-119.9023,99349,1840022292
Cove,WA,Washington,King,47.452,-122.5079,98070,1840037635
Chico,WA,Washington,Kitsap,47.6234,-122.7198,98312 98383,1840037630
Maple Falls,WA,Washington,Whatcom,48.9135,-122.1049,98244,1840017290
Colvos,WA,Washington,King,47.4762,-122.4907,98070,1840037541
Ames Lake,WA,Washington,King,47.6346,-121.9664,98014 98053,1840037846
Ellisforde,WA,Washington,Okanogan,48.7899,-119.4012,98855,1840037843
Pine Lake,WA,Washington,King,47.5787,-122.0462,98075,1840037881
Tampico,WA,Washington,Yakima,46.5325,-120.8727,98903,1840023857
Colton,WA,Washington,Whitman,46.5677,-117.1284,99113,1840022315
Usk,WA,Washington,Pend Oreille,48.3138,-117.2797,99180,1840037828
Cle Elum,WA,Washington,Kittitas,47.1937,-120.9575,98943 98922,1840018440
Omak,WA,Washington,Okanogan,48.4214,-119.5178,98841,1840019761
Harrington,WA,Washington,Lincoln,47.4799,-118.2555,99134,1840019819
Sedro-Woolley,WA,Washington,Skagit,48.5095,-122.2344,98284,1840021066
Cherry Grove,WA,Washington,Clark,45.8021,-122.5764,98604,1840037538
La Push,WA,Washington,Clallam,47.9087,-124.6366,98350,1840037839
Lake Ketchum,WA,Washington,Snohomish,48.282,-122.348,98292,1840037852
Arletta,WA,Washington,Pierce,47.2901,-122.6676,98335,1840037616
Opportunity,WA,Washington,Spokane,47.6574,-117.2399,99206,1840037693
Glenoma,WA,Washington,Lewis,46.5146,-122.1601,98336,1840037768
Curlew,WA,Washington,Ferry,48.8777,-118.6045,99118,1840025242
Midland,WA,Washington,Pierce,47.1734,-122.412,98404 98445,1840018452
Adna,WA,Washington,Lewis,46.629,-123.0612,98532,1840037489
Roslyn,WA,Washington,Kittitas,47.2511,-121.0992,98941 98068 98925,1840019842
Deer Park,WA,Washington,Spokane,47.9642,-117.4398,99006,1840018400
Tracyton,WA,Washington,Kitsap,47.6095,-122.6533,98310 98311,1840018408
Hunts Point,WA,Washington,King,47.6418,-122.2289,98004,1840021122
Koontzville,WA,Washington,Okanogan,48.0157,-118.9472,99116,1840037560
Fruitland,WA,Washington,Stevens,48.071,-118.1989,99129,1840037552
Chewelah,WA,Washington,Stevens,48.2929,-117.7337,99109,1840018360
Mohler,WA,Washington,Lincoln,47.4049,-118.3291,99134,1840037575
East Renton Highlands,WA,Washington,King,47.4718,-122.0854,98027 98059 98038,1840037866
Sunnyside,WA,Washington,Yakima,46.3159,-120.0058,98944,1840021150
Long Lake,WA,Washington,Lincoln,47.836,-117.8488,99013,1840037566
Wauna,WA,Washington,Pierce,47.3862,-122.6692,98329,1840023842
Liberty,WA,Washington,Kittitas,47.2537,-120.6654,98922,1840037787
Normandy Park,WA,Washington,King,47.4344,-122.3436,98166,1840019832
Parkwood,WA,Washington,Kitsap,47.5266,-122.5986,98366,1840037518
Jamestown,WA,Washington,Clallam,48.1229,-123.0911,98382,1840037668
Forks,WA,Washington,Clallam,47.9526,-124.3906,98331,1840019781
Wallula,WA,Washington,Walla Walla,46.0847,-118.9056,99363,1840018489
SeaTac,WA,Washington,King,47.4444,-122.2985,98158 98148 98198 98168 98188 98131,1840021116
Royal City,WA,Washington,Grant,46.9,-119.6143,99357,1840019816
Beaux Arts Village,WA,Washington,King,47.5853,-122.2009,98004,1840019838
Steilacoom,WA,Washington,Pierce,47.1702,-122.5938,98388,1840022309
Northport,WA,Washington,Stevens,48.9158,-117.7799,99157,1840022274
Eldon,WA,Washington,Mason,47.5454,-123.046,98555,1840037764
Ridgefield,WA,Washington,Clark,45.8112,-122.7053,98642,1840019909
Ryderwood,WA,Washington,Cowlitz,46.375,-123.0441,98581,1840025275
Manchester,WA,Washington,Kitsap,47.5519,-122.5517,98366,1840017336
Vashon Heights,WA,Washington,King,47.5057,-122.4654,98070,1840037598
Salmon Creek,WA,Washington,Clark,45.7099,-122.6632,98686 98685,1840018520
Vantage,WA,Washington,Kittitas,46.9453,-119.9922,98950,1840018441
Creston,WA,Washington,Lincoln,47.7596,-118.5199,99117,1840021109
Soap Lake,WA,Washington,Grant,47.3884,-119.4905,98851,1840021102
